id,name,tier,glass,method,garnish,ing_count,ing_1_amount,ing_1_name,ing_2_amount,ing_2_name,ing_3_amount,ing_3_name,ing_4_amount,ing_4_name,ing_5_amount,ing_5_name,ing_6_amount,ing_6_name,ing_7_amount,ing_7_name,ing_8_amount,ing_8_name,ing_9_amount,ing_9_name,ing_10_amount,ing_10_name
negroni,Negroni,0,Old-fashioned glass,Stir all ingredients over ice. Strain into glass.,Orange twist,3,3 cl,Rutte Dry Gin,3 cl,Italian red bitter liqueur,3 cl,Martini Rosso sweet vermouth,,,,,,,,,,,,,,
old-fashioned,Old Fashioned,0,Old-fashioned glass,Stir all ingredients over ice. Strain into glass.,Orange twist,3,6 cl,Bourbon whiskey,1.25 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",3 dash,Angostura Aromatic Bitters,,,,,,,,,,,,,,
margarita,Margarita,0,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Luxardo cherry,4,4.5 cl,Patrón Silver blanco tequila,2.25 cl,De Kuyper Triple Sec (40%),2.25 cl,Lime juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",,,,,,,,,,,,
espresso-martini,Espresso Martini,0,Martini glass,Shake all ingredients vigorously with ice. Fine strain into glass.,Lemon twist,4,4.5 cl,Ketel One Vodka,3 cl,Espresso coffee (freshly made & hot),2 cl,Coffee liqueur,2 drop,Difford's Saline Solution (or ½ pinch salt) (optional),,,,,,,,,,,,
daiquiri,Daiquiri,1,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lime wheel,5,5 cl,Bacardi Carta Blanca light rum,1.5 cl,Lime juice (freshly squeezed),1 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",4 drop,Difford's Daiquiri Bitters (optional),1 cl,Chilled water (omit if using wet ice),,,,,,,,,,
dry-martini,Dry Martini,1,Martini glass,Stir all ingredients over ice. Strain into glass.,Lemon twist,3,6.25 cl,Rutte Dry Gin,1.25 cl,Martini Extra Dry vermouth,1 dash,Orange Bitters by Angostura (optional),,,,,,,,,,,,,,
manhattan,Manhattan,1,Coupe glass,Stir all ingredients over ice. Strain into glass.,Orange twist,3,6 cl,Bourbon whiskey,2.5 cl,Martini Extra Dry vermouth,2 dash,Angostura Aromatic Bitters,,,,,,,,,,,,,,
whiskey-sour,Whiskey Sour,1,Old-fashioned glass,Dry shake all ingredients without ice. Shake again with ice. Strain into chilled glass.,Lemon twist,4,4 cl,Bulleit Kentucky Straight Bourbon Whiskey (45%),2 cl,Lemon juice (freshly squeezed),1 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",1.5 cl,Egg white,,,,,,,,,,,,
mojito,Mojito,1,Collins glass,Muddle herbs/sugar in shaker. Add remaining ingredients. Shake with ice. Strain. Top with soda.,Mint sprig,5,14 fresh,Mint leaves,6 cl,Havana Club 3 Year Old rum,1.5 cl,Lime juice (freshly squeezed),1 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",1.5 cl,Thomas Henry Soda Water,,,,,,,,,,
aperol-spritz,Aperol Spritz,1,Wine glass,Shake base ingredients with ice. Strain into glass. Top with soda.,Orange twist,3,9 cl,Prosecco sparkling wine,6 cl,Bittersweet orange-red aperitivo,3 cl,Thomas Henry Soda Water,,,,,,,,,,,,,,
sazerac,Sazerac,2,Old-fashioned glass,Stir all ingredients over ice. Strain into glass.,Lemon twist,8,1 cl,La Fée Parisienne absinthe,7 cl,Chilled water,2 cl,Rémy Martin 1738 Cognac,2 cl,Straight rye whiskey (100 proof / 50% alc./vol.),2 cl,Bourbon whiskey,1 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",3 dash,Peychaud's or other Creole-style bitters,1 dash,Angostura Aromatic Bitters,,,,
last-word,Last Word,2,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lime wheel,5,3 cl,Rutte Dry Gin,2 cl,Green Chartreuse liqueur,2 cl,Luxardo Maraschino liqueur,2 cl,Lime juice (freshly squeezed),1 cl,Chilled water (omit if using wet ice),,,,,,,,,,
paloma,Paloma,2,Collins glass,Muddle herbs/sugar in shaker. Add remaining ingredients. Shake with ice. Strain. Top with soda.,Salt rim,5,5 cl,Patrón Silver blanco tequila,2.5 cl,Grapefruit juice (pink),1.25 cl,Lime juice (freshly squeezed),0.75 cl,Agave syrup,5 cl,Thomas Henry Pink Grapefruit soda,,,,,,,,,,
pina-colada,Pina Colada,2,Pineapple shell (frozen) glass,Blend all ingredients with crushed ice until smooth. Pour into glass.,Luxardo cherry,4,6 cl,Bacardi Carta Blanca light rum,9 cl,Pineapple juice (fresh pressed),2 cl,"Cream of coconut (e.g. Coco Lopez, Re'al etc.)",1.5 cl,Lime juice (freshly squeezed),,,,,,,,,,,,
mai-tai,Mai Tai,2,Double old-fashioned,Stir all ingredients over ice. Strain into glass over fresh ice.,Lime wheel,5,6 cl,Havana Club 7yo rum,1.5 cl,Orange Curaçao liqueur,2.25 cl,Lime juice (freshly squeezed),1 cl,Giffard Orgeat Syrup,0.75 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",,,,,,,,,,
sidecar,Sidecar,2,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lemon twist,4,4.5 cl,Rémy Martin 1738 Cognac,3 cl,De Kuyper Triple Sec (40%),1.5 cl,Lemon juice (freshly squeezed),1.5 cl,Chilled water (omit if using wet ice),,,,,,,,,,,,
french-75,French 75,2,Flute glass,Shake all ingredients with ice. Strain into glass.,Lemon twist,4,1.5 cl,Lemon juice (freshly squeezed),1 1⁄2 spoon,Powdered sugar (ground in mortar and pestle) (or use 5ml of 2:1 sugar syrup per spoon),4.5 cl,Rutte Dry Gin,7.5 cl,Brut Champagne,,,,,,,,,,,,
boulevardier,Boulevardier,2,Old-fashioned glass,Stir all ingredients over ice. Strain into glass.,Orange twist,3,4.5 cl,Bourbon whiskey,3 cl,Martini Rosso sweet vermouth,3 cl,Italian red bitter liqueur,,,,,,,,,,,,,,
bloody-mary,Bloody Mary,2,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Salt rim,7,6 cl,Ketel One Vodka,12 cl,Tomato juice,1.5 cl,Lemon juice (freshly squeezed),8 drop,Hot pepper sauce (red),4 dash,Worcestershire sauce,2 grind,Black pepper,1 pinch,Celery salt,,,,,,
moscow-mule,Moscow Mule,2,Copper mug or Collins glass,Build ingredients directly in glass over ice. Stir gently.,Lime wheel,4,6 cl,Ketel One Vodka,1.5 cl,Lime juice (freshly squeezed),1 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",9 cl,Thomas Henry Ginger Beer,,,,,,,,,,,,
tom-collins,Tom Collins,2,Collins glass,Shake base ingredients with ice. Strain into glass. Top with soda.,Orange twist,4,6 cl,Portobello Old Tom gin,2.5 cl,Lemon juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",5 cl,Thomas Henry Soda Water,,,,,,,,,,,,
aviation,Aviation,2,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lemon twist,5,5.25 cl,Rutte Dry Gin,1.5 cl,Luxardo Maraschino liqueur,0.75 cl,Crème de violette liqueur,1.5 cl,Lemon juice (freshly squeezed),0.75 cl,Chilled water (omit if using wet ice),,,,,,,,,,
paper-plane,Paper Plane,2,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lemon twist,4,2.25 cl,Bourbon whiskey,2.25 cl,Amaro Nonino Quintessentia,2.25 cl,Bittersweet orange-red aperitivo,2.25 cl,Lemon juice (freshly squeezed),,,,,,,,,,,,
penicillin,Penicillin,2,Old-fashioned glass,Stir all ingredients over ice. Strain into glass over fresh ice.,Candied ginger,5,4.5 cl,Dewar's 12 Year Old Scotch whisky,1.5 cl,Ginger liqueur,1 cl,Islay single malt (peated) Scotch whisky,2 cl,Lemon juice (freshly squeezed),2 cl,Honey syrup (3 honey to 1 water),,,,,,,,,,
gimlet,Gimlet,2,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lime wheel,6,5 cl,Rutte Dry Gin,2 cl,Lime cordial (sweetened lime juice),1 cl,Rutte Old Simon Genever,0.5 cl,Lime juice (freshly squeezed),0.5 cl,Lemon juice (freshly squeezed),0.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",,,,,,,,
bees-knees,Bee's Knees,2,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,4,6 cl,Rutte Dry Gin,2.25 cl,Lemon juice (freshly squeezed),1.5 cl,Honey syrup (3 honey to 1 water),1 cl,Orange juice (freshly squeezed),,,,,,,,,,,,
caipirinha,Caipirinha,2,Highball (max 10oz/300ml),Build ingredients directly in glass over ice. Stir gently.,Sugar rim,4,1⁄2 fresh,Lime (fresh) (chopped),3 spoon,Powdered sugar (ground in mortar and pestle),2.25 cl,Chilled water (omit if using wet ice),6 cl,Novo Fogo Silver cachaça (from freezer),,,,,,,,,,,,
mint-julep,Mint Julep,2,Julep tin,Muddle mint and sugar gently in shaker. Add remaining ingredients. Shake with ice. Fine strain into glass.,Mint sprig,4,12 fresh,Mint leaves,7 cl,Bourbon whiskey,2 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",2 dash,Angostura Aromatic Bitters,,,,,,,,,,,,
